year,site,exposure,coastal,region,latitude,longitude,depth,time,sand,pebble,rock,cobble,boulder,ledge,sac,alar,agar,ldig,sder,desm,kelp,ulva,chaet,codm,poly,rhod,ptilo,porph,palm,phyc,ccrisp,callo,phyll,coral,bonne,cystoc,urchin,crust,depth.stratumcode,site.number,region.code,date
1996,Cow Beach York,5,3,york,43.141,-70.618,10,,,,,,,,20,0,10,0,0,15,30,0,0,0,45,,0,0,0,0,60,,,5,,,,,,,,
1996,Cow Beach York,5,3,york,43.141,-70.618,10,,,,,,,,20,0,10,0,0,5,30,10,0,0,30,,0,5,0,0,45,,,30,,,,,,,,
1996,Cow Beach York,5,3,york,43.141,-70.618,10,,,,,,,,10,0,2,2,0,0,14,0,0,0,20,,0,0,0,0,70,,,40,,,,,,,,
1996,Outer Sand,4,4,downeast,44.46,-67.6709,10,,,,,,,,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,,,0,,,,,,,,
1996,Outer Sand,4,4,downeast,44.46,-67.6709,10,,,,,,,,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,,,0,,,,,,,,
1996,Outer Sand,4,4,downeast,44.46,-67.6709,10,,,,,,,,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,,,0,,,,,,,,
1996,Outer Sand,4,4,downeast,44.46,-67.6709,10,,,,,,,,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,,,0,,,,,,,,
1996,Outer Sand,4,4,downeast,44.46,-67.6709,10,,,,,,,,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,,,0,,,,,,,,
1996,Outer Sand,4,4,downeast,44.46,-67.6709,10,,,,,,,,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,,,0,,,,,,,,
1996,Outer Sand,4,4,downeast,44.46,-67.6709,10,,,,,,,,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,,,0,,,,,,,,
1996,Outer Sand,4,4,downeast,44.46,-67.6709,10,,,,,,,,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,,,0,,,,,,,,
1996,Outer Sand,4,4,downeast,44.46,-67.6709,10,,,,,,,,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,,,0,,,,,,,,
1996,Outer Sand,4,4,downeast,44.46,-67.6709,10,,,,,,,,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,,,0,,,,,,,,
