year,region,exposure.code,coastal.code,latitude,longitude,depth,crust,understory,kelp,urchin,month,day,survey,site,desm
2005,york,4,3,43.2258,-70.579,5,36.5,56,54,0,5,12,rasher_steneck,5,NA
2005,york,4,3,43.4406,-70.3318,5,37.5,67,50.5,0,5,12,rasher_steneck,8,NA
2005,casco.bay,4,4,43.6317,-70.181,5,23.5,76,30,0,5,13,rasher_steneck,10,NA
2005,casco.bay,5,4,43.5555,-70.155,5,74.5,34.5,49,0,5,13,rasher_steneck,9,NA
2005,casco.bay,4,4,43.6961,-70.0768,5,27,70,44.5,0,5,13,rasher_steneck,14,NA
2005,casco.bay,3,4,43.7102,-70.0336,5,29,77,46.5,0,5,13,rasher_steneck,15,NA
2005,casco.bay,4,3,43.6988,-69.8349,5,74,73,30.5,0,5,17,rasher_steneck,19,NA
2005,midcoast,3,3,43.8115,-69.6252,5,34.5,88,14.5,0,5,18,rasher_steneck,23,NA
2005,midcoast,4,4,43.7891,-69.5997,5,19.5,87,23.5,0.2,5,18,rasher_steneck,25,NA
2005,midcoast,4,4,43.7937,-69.5726,5,69.5,49.5,33,0,5,18,rasher_steneck,26,NA
2005,midcoast,4,4,43.8163,-69.5506,5,48,62.5,81.5,0,5,18,rasher_steneck,28,NA
2005,midcoast,3,3,43.8389,-69.5154,5,48.5,80.5,41,0,5,19,rasher_steneck,31,NA
2005,midcoast,4,4,43.8616,-69.4452,5,9.5,85.5,20.5,0,5,19,rasher_steneck,37,NA
2005,midcoast,3,3,43.8887,-69.4409,5,29.5,91,37,0,5,19,rasher_steneck,36,NA
2005,midcoast,3,4,43.8891,-69.3019,5,53.5,65.5,65.5,0,5,28,rasher_steneck,41,NA
2005,midcoast,3,4,43.8891,-69.2894,5,66.5,53.5,53.5,10.1,5,28,rasher_steneck,42,NA
2005,penobscot.bay,4,4,43.9119,-69.2212,5,83.5,22,84,0.1,5,28,rasher_steneck,45,NA
2005,penobscot.bay,4,4,43.9209,-69.2123,5,88.5,6.5,50.5,25.5,5,28,rasher_steneck,44,NA
2005,penobscot.bay,4,4,43.8717,-69.1205,5,79,21.5,98.5,0.5,5,29,rasher_steneck,47,NA
2005,penobscot.bay,3,3,43.9798,-69.0903,5,72.5,54,89,0.4,5,29,rasher_steneck,54,NA
2005,penobscot.bay,4,4,43.9709,-69.0653,5,77.5,49,80.5,0,5,29,rasher_steneck,53,NA
2005,penobscot.bay,3,4,43.9934,-69.0591,5,71,80.5,53.5,0.4,5,29,rasher_steneck,52,NA
2005,penobscot.bay,4,4,43.9125,-69.0282,5,86.5,46.5,84.5,0,5,29,rasher_steneck,50,NA
2005,penobscot.bay,5,4,44.0256,-68.8532,5,68,57.5,64,0.1,5,31,rasher_steneck,63,NA
2005,penobscot.bay,5,5,44.0164,-68.7597,5,13.5,4.5,53.5,0,5,31,rasher_steneck,61,NA
2005,penobscot.bay,4,4,44.0513,-68.5974,5,51.5,63,65.5,0,6,1,rasher_steneck,65,NA
2005,mdi,4,4,44.0648,-68.5848,5,76,41.5,91,0,6,1,rasher_steneck,66,NA
2005,mdi,3,4,44.0466,-68.5598,5,75.5,42.5,93,0,6,1,rasher_steneck,64,NA
2005,mdi,4,4,44.0871,-68.5596,5,21.5,48.5,68.5,0,6,1,rasher_steneck,67,NA
2005,mdi,3,4,44.1238,-68.5212,5,57.5,54,98.5,0,6,1,rasher_steneck,69,NA
2005,mdi,5,4,44.1133,-68.445,5,84.5,26,98.5,0,6,11,rasher_steneck,83,NA
2005,mdi,3,4,44.1399,-68.378,5,88,33,92,0,6,11,rasher_steneck,84,NA
2005,mdi,5,4,44.1036,-68.3432,5,91.5,26.5,92,2,6,11,rasher_steneck,81,NA
2005,mdi,4,4,44.1576,-68.3339,5,42,46.5,78,0,6,12,rasher_steneck,87,NA
2005,mdi,4,3,44.225,-68.2825,5,88,7,97.5,0,6,11,rasher_steneck,79,NA
2005,mdi,4,4,44.1526,-68.2539,5,80,40,97,3.5,6,11,rasher_steneck,80,NA
2005,mdi,4,3,44.3099,-68.1869,5,91.5,18.5,62,12.8,6,11,rasher_steneck,77,NA
2005,mdi,3,3,44.3631,-68.0932,5,79.5,38,89,6.6,6,15,rasher_steneck,106,NA
2005,downeast,3,3,44.3492,-68.0429,5,76.5,51.5,79,0,6,14,rasher_steneck,100,NA
2005,downeast,3,3,44.3941,-68.0124,5,87.5,26.5,77,0.7,6,14,rasher_steneck,96,NA
